ID,Lat,Long,PC1,PC2,PC3
1930,48.49666,7.47052,0.080988,0.0250364,-0.00388372
367,42.566929,12.234101,0.0316293,-0.0219811,-0.0124659
1304,45.488514,17.641285,0.0977062,0.00611289,-0.00558284
736,46.8168806,1.684480556,0.00564861,0.0110339,0.0172148
2181,56.4775012,16.5761124,-0.0168181,0.0104262,0.0117863
2398,51.165499,53.021901,-0.0695913,-0.0384116,0.00719427
2287,50.30386944,45.78486944,-0.11843,-0.0498386,-0.0177634
1879,41.9179937,12.4912439,0.038636,-0.0377348,-0.0180294
1471,52.70219167,58.91980556,-0.0964863,-0.0403214,0.00546784
1316,63.58,27.03,-0.0490173,0.00620827,0.0248635
1819,37.585,12.825,0.0563019,-0.0306538,-0.0122324
2391,48.318268,16.979137,-0.0500929,-0.00685401,0.0120715
517,49.992004,15.776861,-0.0378975,0.000475015,0.0133519
836,39.2338,-8.6875,0.0248047,-0.00639044,0.000122145
837,40.806111,14.3475,0.0504169,-0.0499684,-0.0299105
1345,40.42,29.71,0.0547212,-0.0463648,-0.0325389
2077,40.592068,8.583258,0.0786312,0.0378339,0.0148261
362,47.671155,19.476136,0.0907131,0.0189612,-0.0077355
1319,51.274623,1.079921,-0.0204655,0.00730962,0.0231605
1087,42.0507,2.867,0.0143051,0.00274729,0.00653838
1629,44.451315,40.102863,0.00703097,-0.0792431,-0.0516577
245,50.416843,14.245509,-0.0440443,0.00384836,0.0131582
194,46.252637,20.14378,-0.0828536,-0.0725332,0.0352891
1108,43.53,5.27,0.00912784,0.017906,0.017212
1708,40.416667,45.2,-0.0118727,-0.0611137,-0.0289493
2446,41.734986,14.034655,0.0355412,0.0093019,0.00930953
1045,47.645139,17.616238,-0.0118918,0.00773977,-0.000996771
756,55.675268,12.568294,-0.0242384,0.0138475,0.0167261
81,49.992004,15.776861,-0.0421608,0.0028328,0.0106139
404,41.734986,14.034655,0.0364873,0.00527647,0.00991555
1073,40.6809,-2.6869,0.0270827,-0.00110451,0.00165063
283,39.73,45.2,0.0211146,-0.0552992,-0.0295446
578,37.406111,-4.416389,0.0680744,0.0489645,0.0121394
792,50.84,4.34,-0.0220205,0.00982086,0.0159377
770,51.168023,-1.7725402,-0.0432381,0.00724122,0.0176435
1863,52.985499,-9.111454,0.0663032,0.0457017,0.00753062
767,41.643977,1.147374,0.039224,-0.0320677,-0.0239765
1201,59.61731,17.72361,-0.0430313,0.0135526,0.0153227
1024,51.3603,1.3405,-0.0111919,0.010041,0.0157541
1525,45.888056,20.166667,0.0156541,0.00174742,-0.00432154
2160,52.18,0.14,-0.0181106,0.0141201,0.0152666
1786,46.28333333,17.85,0.0236375,-0.0142568,-0.0079842
15,41.8947764,12.4762658,0.00380957,-0.00175015,0.00586504
1167,50.410265,14.074597,-0.00318808,0.0174352,0.00721755
346,40.65,45.1167,0.00863454,-0.0833619,-0.0445964
173,42.817,-1.643,0.0474722,-0.0316168,-0.0207652
1924,56.4593837,16.430668,-0.0225982,0.00645813,0.0181496
1886,41.7552257,12.2948926,0.0354085,-0.0287218,-0.0156755
1558,40.516618,44.933321,-0.00249796,-0.0621286,-0.0369792
2223,38.381944,38.361111,0.0574606,-0.0566367,-0.0430555
1464,44.480949,11.257043,0.0225971,0.0123292,0.0106847
2213,43.48,11.12,0.0255448,-0.014511,-0.00388407
1889,43.05777778,26.98361111,0.0705274,0.00308487,-0.0129985
348,50.84,4.34,-0.015524,0.0131045,0.0191425
1116,54.53,-2.16,-0.0152121,0.00770758,0.0145413
321,48.541111,10.233056,0.0183905,-0.0151432,0.00055843
911,57.32051393,39.6216284,-0.0582616,-0.0125177,0.0118762
1764,47.51062,18.61693,0.0797922,0.0171421,-0.0104034
1567,41.28,22.49,0.0331998,-0.0158241,-0.00391128
1559,53.919396,-0.766635,-0.0217127,0.00806816,0.0204104
566,47.878301,21.395195,-0.0155683,0.0446041,-0.0216996
408,58.45,-6.396,-0.026912,0.00832091,0.018089
1957,44.480949,11.257043,0.00669008,0.0185139,0.0131598
1724,56.2833,25.1333,-0.113473,0.154799,-0.06101
1118,50.78083,5.46472,-0.0260159,0.00826653,0.0178808
185,37.885,12.475,0.0516581,-0.012099,-0.00459072
122,54.51,-1.58,-0.0243662,0.00984733,0.0200139
1066,36.87,37.54,0.0280823,-0.0602062,-0.0313631
2203,53.919396,-0.766635,-0.00571662,0.00477676,0.0118951
1078,58.985304,26.863777,-0.0413433,0.0139359,0.00796375
781,52.26136,0.06869,-0.0292874,0.0109881,0.0229309
1248,41.904984,14.837009,0.0370336,0.0124923,0.00478503
1063,37.24,-4.24,0.076859,0.0445503,0.0137087
160,41.9235,-1.2506,0.0179856,0.010711,0.0089794
195,40.3037,29.57,0.0961795,-0.00506691,-0.00746975
2135,53.21728,6.565521,-0.0268801,0.00920086,0.0195408
1647,40.42,29.71,0.0490411,-0.0405263,-0.0201371
1978,41.904984,14.837009,0.0226052,-0.0398193,-0.0216943
657,46.0,2.0,0.00668585,0.00418938,0.00913035
1134,63.58,27.03,-0.0471583,0.00937107,0.0218257
1751,48.46226,7.48167,-0.0285734,0.00876949,0.0170394
617,46.669254,17.166072,-0.0267867,0.0101643,-0.000301573
1007,40.42,-3.7,0.0156245,-0.000238657,0.00653337
1511,69.2239,33.4828,-0.124891,-0.0432336,0.0192565
1991,45.867366,15.279788,0.0154848,0.0064066,0.00127865
2383,50.511285,13.767871,-0.0313886,0.00355924,0.00170691
1546,41.904984,14.837009,0.0355517,0.010295,0.0015034
1091,56.7207075,16.7115646,-0.0292926,0.0104583,0.01498
509,49.60573333,49.39015,-0.069302,-0.0895587,0.0358025
2048,47.353728,16.794725,0.00455252,0.0113989,0.00793113
1186,43.48,11.12,0.0241147,-0.0145892,-0.00425924
1397,47.423362,34.445303,-0.0475259,-0.0434413,0.00449288
1365,51.168023,-1.7725402,-0.0218098,0.010796,0.015854
852,47.381597,20.058643,0.0119788,-0.00031815,0.00377253
1156,54.53,-2.16,-0.0184056,0.0110897,0.0143125
1223,40.15,44.05,0.0342255,-0.0660515,-0.0374569
1707,50.054385,14.363387,0.000221321,0.016499,0.0138007
1672,41.203741,15.564056,0.027891,-0.00308332,0.00105413
1654,50.84,4.34,-0.0164273,0.0113126,0.0167435
457,48.283311,18.085484,0.0984925,0.00854083,-0.00779499
974,47.815741,21.099227,0.0836596,0.0162311,-0.0115732
1000,52.35336944,48.07836667,-0.141758,-0.0193711,-0.0298653
1496,47.61,45.87,-0.0680802,-0.0959935,0.0352434
1072,40.439722,-3.506389,0.0694746,0.0470752,0.0147797
1236,54.53,-2.16,-0.0189685,0.00584051,0.0179244
1055,46.669254,17.166072,-0.00687457,0.000388682,-0.00139259
1902,51.56105,-1.445923,0.0674958,0.0515581,0.0135957
46,58.38,13.65,-0.0149287,0.00411771,0.0147811
2282,53.04866,-9.140049,0.0677292,0.048914,0.0107817
116,43.529722,13.547778,0.0771678,0.0257889,0.00214296
1671,44.595879,22.010568,-0.0980525,0.172157,-0.0804531
850,50.410265,14.074597,-0.0319585,0.00575093,0.00828622
1921,54.45516,55.41849,-0.0534333,-0.0344197,0.00747911
1531,51.366768,10.855474,-0.0208065,0.0110786,0.015025
1346,40.775258,14.586258,0.0349733,0.0105052,0.00521686
1847,39.957373,15.816924,0.0395751,0.00225175,0.00312953
2283,52.62,18.96,-0.0468006,0.0342031,-0.00560078
920,37.972296,13.824736,0.0532875,-0.0344764,-0.0184981
2112,50.19,14.158,-0.0214925,0.00268427,0.00584851
904,48.272612,17.412782,-0.0506008,0.00216191,0.0101304
1683,66.26,12.73,-0.0385901,0.0117793,0.0210572
2416,47.274175,39.47191667,-0.0975101,-0.0306079,-0.00680489
191,37.34,28.04,0.0386592,-0.0379001,-0.0262102
1187,58.17,22.25,-0.0279608,0.0147582,0.0183416
1375,53.21728,6.565521,-0.022375,0.00961185,0.0171872
302,42.283004,13.624005,0.0418416,-0.0354974,-0.02489
398,40.42,-3.7,0.014461,0.00658666,0.00809448
1990,52.35336944,48.07836667,-0.110021,-0.0583799,-0.0247245
382,52.66,18.88,-0.0508845,-0.001678,0.0131843
915,37.0337,-7.9534,0.0221324,-0.0016684,-0.00128634
810,45.301785,27.966771,-0.033932,-0.0323514,0.00278589
2141,46.452491,-0.702906,0.0607202,0.0570392,0.00952291
59,46.0648,45.1048,-0.0548944,-0.0762072,0.0263246
1473,44.534274,22.554033,0.110516,-0.00625675,-0.0034215
2018,47.395,40.168061,-0.0978893,-0.0232879,-0.00948069
2124,40.416667,45.2,-0.00732707,-0.0634128,-0.0339024
569,37.177,40.952,0.0365903,-0.0655693,-0.0374092
2245,53.919396,-0.766635,-0.0222839,0.010003,0.0225623
2096,49.992004,15.776861,-0.0352535,0.000450227,0.00674598
1338,47.064232,20.211518,0.0845596,0.0154975,-0.0165476
344,49.366767,30.776149,-0.0387429,-0.0283034,0.00782665
415,47.434167,35.276389,-0.150389,0.0737993,-0.0573677
707,60.8,11.1,-0.031576,0.010857,0.0194808
439,40.633889,15.378889,0.0798749,0.0238002,0.00438812
24,53.74,13.31,-0.0248495,0.035434,-0.00533977
918,46.230841,-0.793063,0.0731831,0.0458781,0.0121505
1484,47.217632,39.711521,-0.0474706,-0.0389387,-0.00179609
793,40.775258,14.586258,0.0315693,0.001126,0.00406729
1548,50.025608,15.169166,-0.0102041,0.0122112,0.0101797
2366,38.381944,38.361111,0.0506843,-0.0631701,-0.0394748
2035,51.15,-1.36,-0.0165438,0.00916993,0.0157587
1585,52.54,11.97,-0.0396204,0.138993,-0.03139
890,38.629306,34.297718,0.0554824,-0.050753,-0.0338406
2386,38.466667,23.233333,0.100885,-0.0101275,-0.00532561
973,44.626111,22.605833,-0.0998217,0.161393,-0.0842374
1309,45.40231,10.19965,0.072765,0.0266465,0.00739753
543,40.8716,43.8445,-0.0115582,-0.062668,-0.0288171
1306,43.4,13.55,0.0199796,-0.0102225,-2.3691e-05
1894,50.84,4.34,-0.0175201,0.0123367,0.0182086
151,53.919396,-0.766635,-0.0159416,0.00946272,0.015471
2300,37.972296,13.824736,0.0536458,-0.029259,-0.0114631
2269,49.49,58.51,-0.144537,-0.0684025,-0.00931234
1239,47.7419,45.7152,-0.00208742,-0.0569908,-0.0191256
2243,46.452491,-0.702906,0.0611547,0.0634204,0.011958
982,40.158534,15.157976,0.0434903,-0.0474318,-0.0266557
2352,37.983,-1.1166,0.0182953,-0.00637684,0.00327205
54,54.08,-4.68,-0.0277114,0.0122599,0.0166836
633,51.861211,-1.883011,0.0697823,0.0532981,0.00962576
1998,40.887,-1.7765,0.0019322,0.00153173,0.0107561
1972,58.38,13.65,-0.0288783,0.0141123,0.0146104
584,37.3,28.03,0.0398449,-0.0478194,-0.0252297
696,55.63639,35.89972,-0.0681387,-0.0141168,0.00598157
2137,56.794453,40.419147,-0.157645,0.0486622,-0.0411129
